sentence,kmeans_cluster,x,y
bảo hành,1,1.906096,66.437973
tức t2,3,-6.40874,-31.699011
đặt shopee,3,21.602379,-49.084949
hi,1,22.852446,62.48716
trường mầm non,4,8.994305,-14.960612
sạch,5,-60.405235,18.647449
đêm đảo,2,-23.39926,-16.926067
kiểu bbcôẻ bb sứ trắng fatz,4,3.447062,1.663464
tưởng nồi dạng cắm đấy,4,6.142339,-15.931657
cháy,2,-36.057518,-19.795034
nấu cháo nấu món,5,-19.086832,13.330067
nồi nấu cháo ngăn,5,-21.848782,10.671286
191 thạch bàn,4,5.888537,22.983747
chờ tíu uống sửa 3 àh,2,-27.57893,2.423093
điện thoại 0369669044,5,-15.31389,29.545805
tông 0962 011 322 p15 08 tòa 21t2 hapulico 83 vũ trọng phụng tx hà nội,4,-0.087603,0.680466
bao nhiêu,0,65.614563,3.530286
điện thoại 0963399888,5,-17.622061,37.522217
phúc thọ,3,-11.205928,-35.779278
đặt shopee,3,24.242828,-49.199429
chiều ngang 1m1,4,-3.581705,-8.452685
chie dán chư len duoc thô,2,-29.367704,-9.87589
bé hop chi ve len duoc,4,-0.434755,-2.571202
áo mưa s oi,4,-7.151119,-4.53916
s oi,2,-29.65782,4.663084
tối sức =,3,2.889841,-26.80986
kéo mãi,3,-2.70583,-27.240391
căng cạnh nôi,4,-17.497686,5.569979
điện thoại 0332535462,5,-19.317921,29.317144
bao nhiêu,0,61.692337,0.074786
chào,1,40.917076,47.884239
ui ghê,1,9.148043,44.618172
hi,1,23.227051,61.054672
bao nhiêu,0,61.692337,0.074786
đặt shopee,3,22.978991,-46.91375
ad,3,26.695501,-21.423574
chỗ lấu,5,-13.114388,14.604039
giới hạn,5,-31.785738,22.748726
canh dj,4,-4.778114,-13.506593
hươu,3,3.372277,-23.899298
điện thoại 0988400254,5,-18.449928,30.688683
16,1,12.80934,41.572296
nóng rổ,4,17.461777,-4.946053
phân vân 1015 1016,4,-3.899359,18.269972
điện thoại 0918768389,5,-22.308302,29.224623
đặt,0,50.379433,25.793428
bao nhiêu,0,67.579529,1.262606
đặt shopee,3,24.814869,-45.666786
bao nhiêu,0,61.692337,0.074786
đầu rẽ nà mua 2017,4,6.019209,1.004358
nè,1,14.451986,32.556549
