sentence,kmeans_cluster,x,y
gửi viettel hàng cồng kềnh phí ship shop cỡ bao nhiêu shop há,4,13.349521,-13.166224
shop ship xe,4,20.808139999999998,-5.68191
trang,4,6.591497,-5.182448
máy bao nhiêu shop,4,34.69812,12.365797
nhiệt kế,4,4.236358999999999,-6.569172
shop gới,4,17.112202,0.10160599999999999
thang máy,4,26.606835999999998,10.919067
shop giá úp bình sữa,4,29.964752,14.843567000000002
free ship shop,4,15.775753,-14.230402
ship tỉnh giá lắm,4,31.119228000000003,-12.593399
máy pha sữa,4,32.026196,2.242938
mấy hàng shop,4,-1.353426,0.409047
oki shop,4,8.727606,5.20446
shopee phí ship shop,4,22.68569,-15.467097
hươu hả,4,4.445394,15.202635999999998
shop rời,4,12.478798,22.850914000000003
shop ship cod,4,16.535934,-14.293479000000001
điện tich bao nhiêu,4,29.991489,-13.172269
shop ship áo mưa xe đẩy ship,4,16.453926,-5.70536
shop ship hôm,4,20.131618,-14.259437
chỉ mua shop,4,5.001094999999999,9.315679
900gr shop,4,17.605295,0.000644
giá hộp đựng sữa,4,24.828634,12.555082
đặt 1 máy tiệt trùng fatz,4,30.074953000000004,6.443534
shop ship hàng giúp,4,21.129333,-15.080013000000001
đeo dây an toàn s,4,8.135926,-5.929137
ship lắp,4,20.958551,-10.254916999999999
giao trần khát chân bao nhiêu,4,30.655621000000004,-9.610111999999999
shop bình đun pha sữa,4,20.464409,5.160861
hồ bơi giong vay bé,4,30.270201,-16.317234
shop túi hâm sữa,4,24.568798,10.27479
chiều,4,14.639225,-3.214393
ngả shop,4,12.798862,1.847352
máy tiệt trùng fatz giá bao nhiêu,4,30.161417,10.851221
chỉnh chế độ,4,6.552407,2.065282
ôi shop,4,11.592444,3.018535
máy okie,4,23.731478,4.650174
ship máy kia,4,22.277973,8.865541
shop oie,4,15.053779,0.620587
chiều,4,14.639225,-3.214393
hà nội lý máy hút sữa avent đôi hãng philip avent - vạn an hàng tàu phiếu bảo hàng tinh máy hút êm nhẹ nhàng kích sữa nha - đẻ bé đầu cực ưng highly recommend mom sử dụng phụ kiện miếng thấm sữa giá 3 triệu freeship hà nội mẹ nhiệt quà bé + 1 tui’ thấm sữa chuchu sieue to+ bịch giấy lót sơ sinh lý gấp cảm ơn,4,7.848186999999999,0.330552
mua máy avent lý,4,21.408792000000002,10.98698
máy pha sữa,4,32.026196,2.242938
rung 5,4,3.618535,-1.580445
máy medela pump lý,4,18.486837,7.852316
máy hút bụi khử khuẩn hons,4,14.764085000000001,6.61065
tiệt,4,34.55603,4.688374
chỗ tiền,4,26.929165,-6.761271000000001
máy bao nhiêu shop,4,34.698021000000004,12.365803999999999
phí ship đại mỗ nam liêm bao nhiêu,4,32.059849,-14.570354
giá máy bao nhiêu,4,35.580959,11.15054
máy tiệt trùng fazt uv,4,31.165659,4.352316
ship giúp 1,4,17.342935999999998,-10.284375
máy tiệt trùng sấy khô fatz mẫu cũ máy hâm sữa đôi rozabi,4,26.230990999999996,4.607317
hk dki chuyen khoản giá 195k bao ship ship màu bạc,4,11.186296,-13.230923
hôm mua máy fatz baby,4,21.848446,10.911874000000001
tầm mấy đê,4,12.772372,-8.429468
ship 12 phước trường 2 giường phước mỹ sơn trà đà nẵng,4,7.895764,-6.37328
shop máy hút sữa,4,29.760422,7.640769000000001
kiểu đồ ghép đường ray,4,5.941211,-4.775844
shop ship chiều,4,19.53146,-13.099584
gửi tiền ship,4,23.398191,-13.279634
shop ship tam trinh,4,13.912631,-14.642682999999998
uh sữa mẹ tủ lạnh túi hâm nóng bé uống,4,16.577785000000002,11.430144
sữa mẹ tủ lạnh túi hâm nóng bé uống,4,16.758648,11.470464999999999
5 triệu đổ,4,3.846166,-1.6672200000000001
đi tháo,4,14.174598000000001,15.76948
inbox mẫu,4,10.207310000000001,27.459406
thú tiền hàng,4,24.457245,-6.850552
hi shop,4,18.431278,22.469032000000002
địu shop,4,11.689223,22.890368
tầm tièn 2 xe phí kia,4,16.671989,-5.93358
đồ vô lăng,4,2.171914,-2.096158
shop hỗ trợ 1 tiền ship nha d,4,14.980017000000002,-11.656634
fix tiền ship tí shop,4,13.550426000000002,-14.501411
báo tiền ship,4,23.100251999999998,-13.197317000000002
tưởng chỉ 1 cỡ,4,3.6875150000000003,9.323421000000002
phí ship lâm đồng bao nhiêu shop,4,32.772766,-11.790076
loanh quanh dọn dẹp quên bố hộp sữa,4,13.117173000000001,6.295705
tầm,4,16.656129999999997,-7.650863
âu mua xe đẩy miễn phí ship,4,16.68536,-5.988225
ship hả,4,23.820999,-10.211601
tổng 1015,4,10.17296,-11.506399
sách vải động vật hoang dã khuyến mãi bao nhiêu,4,7.877153,15.066682
okie ship 229 tây sơn mipec tower bao nhiêu tiền,4,29.858002000000003,-6.271661
ship shopee shop,4,21.262241,-16.473352
tàu shop,4,15.078876000000001,19.908745
ship 1,4,19.817808,-3.009356
1 1 ship 130/5 kp1 giường hố nai biên hoà đồng nai,4,7.9789259999999995,-6.165831
ship tôn đức thắng bao nhiêu shop mua hàng đấy,4,18.3832,-8.886363000000001
ship kệ kia,4,15.225891,-9.501671
toán tiền mặt,4,25.658185999999997,-6.435817
ship 1 xe lửa,4,16.205258999999998,-5.566269999999999
máy,4,36.669388,4.731003
đặt cod shopee bao,4,12.723322,-5.360919
oki shop,4,8.726014,5.204089
oki shop,4,8.726027,5.203793
bao hàng shop há,4,6.21076,21.216381
shop tư vấn bao nhiêu gửi ship tiếp,4,24.077528,-1.9488009999999998
tặng gửi phát phí ship,4,16.419186,-9.743191
check mấy ship,4,16.368139000000003,-17.941782
toán tiền mặt,4,25.658185999999997,-6.435817
gỗ hả,4,3.7553959999999997,15.334176999999999
shop dòng cụ án dặm máy xay,4,15.027348000000002,10.928523
mua sản phẩm máy sấy khô tiệt trùng bình sữa ây,4,25.594154,9.106961
balo nh tiền,4,10.544814,-11.323748
máy tiệt trùng vận thủ dầu bình dương phí ship bao nhiêu,4,20.171265,4.576074
gửi tổ 1 khu 7 bãi cháy qn,4,5.054164,-7.421778
chỉ,4,5.94373,7.460442
đấy,4,9.352553,11.558388
máy babymoov tạch,4,15.852220999999998,6.801297999999999
ghế sài chừng,4,5.078028,14.928157
shop tiệt trùng ti giả,4,24.813774,5.661836
ship 2 2m phí,4,28.266657000000002,-10.490747
chỉ thể nghỉ t6 đổi,4,3.067418,7.960248
ráp shop,4,11.970214,2.608805
shop ráp shop,4,20.504085999999997,22.676332000000002
chiều,4,14.639251999999999,-3.2143900000000003
ship shop,4,26.227802,-14.939143
138 trần bình bến xe mĩ đìh,4,9.553146,-1.310614
shop ship xe,4,20.808139999999998,-5.68191
ship mĩ đình bao nhiêu,4,32.507298,-7.433492
túi hâm sữa babymoov giá bao nhiêu,4,31.7208,14.529685999999998
2 phí ship kho,4,28.552658,-10.840474
ship biên hoà blau bao nhiêu tiền,4,32.316536,-14.339734
hôm shop ship xe mĩ đình,4,14.557039999999999,-10.21372
máy tiệt khuẩn sữa chikco,4,26.601765000000004,4.373086
máy hâm sữa philip,4,26.42437,5.5366
máy tiệt khuẩn bình sữa giá bao nhiêu shop,4,29.864855,11.733206
máy ủ sữa philip giá bao nhiêu,4,31.391064,14.417821
máy bao bao nhiêu xả kho máy fko,4,31.453474,15.116654999999998
kiếm xe gọn thể gấp máy bay í,4,15.151423000000001,14.798384
gấp gọn đem máy bay,4,16.420979,11.670521
tổng 12,4,9.651717,-11.687939
hi shop,4,18.344034,22.482854999999997
tặng kèm phụ kiện,4,16.996321,13.589891
ship 434 trần khát trân bao nhiêu shop,4,30.295053000000003,-6.440327
0904700785 10 ngõ 2 nguyên hồng,4,4.846659,-4.604095
ship 1,4,19.819582,-3.012366
hâm bé uống bao,4,32.124317,16.711962
túi hâm sữa hâm sữa mẹ,4,26.061306,6.3987169999999995
