sentence,kmeans_cluster,x,y
shop,1,-2.231305,1.527765
ship hp bao nhiêu,3,-18.25012,-30.970659
ok,2,32.40958,1.85235
chắn giường,4,-43.147644,-32.425526
màu hồng,4,-75.84668,-4.883299
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
ok shop,4,-32.127678,-15.076363
ship bao nhiêu,3,-10.513189,-67.252266
phí bao nhiêu,3,-21.392597,-48.694031
ok,2,32.40958,1.85235
tiền ship bao nhiêu,3,-19.277832,-35.973454
ok,2,32.40958,1.85235
ok,2,35.08173,-3.428155
cảm ơn tưởng màu đen,1,-22.20162,10.825033
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
bao tiền,0,-17.285517,39.144676
ok,2,32.40958,1.85235
ok,2,35.08173,-3.428155
ok thanks shop,4,-53.107162,9.96963
ok,2,32.40958,1.85235
shop,1,-5.171581,-7.871647
link,4,-67.654121,34.548546
shop,1,-2.190215,-2.44434
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
shop,1,-1.155666,-1.804523
shop,1,-2.437618,-2.944422
shop,1,-2.530364,-3.471689
shop,1,-0.465529,-3.76755
ship thái nguyên bao nhiêu,0,-12.51408,41.529068
shop,1,-0.465529,-3.76755
ok,2,32.40958,1.85235
ok shop nha,4,-35.848251,-18.33923
ok nha,4,-56.816433,-0.793326
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok shop,4,-34.967041,-16.214314
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
ok thanks shop,4,-53.107101,9.969629
cảm ơn nha,0,-22.569967,39.495216
ok,2,32.40958,1.85235
ok,2,35.08173,-3.428155
cảm ơn 🥰,0,-5.334384,43.334454
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
shop,1,-0.465529,-3.76755
xe mẫu shop,4,-34.844719,-6.893348
shop,1,-0.465529,-3.76755
ok nha,4,-56.816498,-0.793679
shop,1,-0.465529,-3.76755
ok,2,32.40958,1.85235
shop,1,-0.465529,-3.76755
ok shop,4,-32.84602,-15.296392
ok,2,32.40958,1.85235
màu hồng,4,-76.111519,-5.119282
shop,1,-0.465529,-3.76755
cám ơn shop,0,-26.810989,40.984344
cám ơn shop,0,-26.813141,40.985275
shop,1,-0.465529,-3.76755
ship tđt bao nhiêu,3,-17.607216,-28.848488
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
ship bao,3,-12.526789,-64.168579
ok,2,35.08173,-3.428155
shop,1,-0.465529,-3.76755
sr nha cám ơn tiện,4,-25.391527,8.205064
shop,1,-0.465529,-3.76755
ok,2,32.40958,1.85235
ship bao nhiêu,3,-10.334437,-67.004967
kích thước,0,-39.127129,31.917349
shop,1,-0.465529,-3.76755
shop mẫu xe,4,-34.843319,-6.893346
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
ship bắc giang phí bao nhiêu,0,-15.148511,39.373425
shop xe,4,-29.959656,7.008568
ship hp bao nhiêu,3,-18.250193,-30.970642
shop,1,-0.465529,-3.76755
màu hồng,4,-75.875076,-5.139812
ok shop,4,-32.505066,-15.022044
link,4,-67.654144,34.548759
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ship tây ninh bao nhiêu,0,-16.852015,37.399303
phí ship bao nhiêu tiền,3,-19.036411,-34.759716
shop,1,-0.465529,-3.76755
ok shop,4,-33.096088,-18.155357
shop,1,-5.861957,-2.493077
shop,1,-5.861957,-2.493077
nha,4,-64.67482,-23.261473
ok,2,35.08173,-3.428155
khoản bao bao nhiêu,3,-19.722973,-39.018257
cám ơn shop nha,0,3.60905,31.421535
ok,2,32.40958,1.85235
shop,1,-0.465529,-3.76755
ship bao nhiêu tiền,3,-19.278009,-35.973473
shop,1,-0.465529,-3.76755
ok,2,32.40958,1.85235
phí ship bao nhiêu,3,-20.195436,-47.187366
set,3,-0.55021,-35.702309
shop,1,-0.465529,-3.76755
ship 232 phạm văn đồng phí ship bao nhiêu,0,1.590696,32.858139
shop,1,-0.465529,-3.76755
ok cảm ơn nha,0,0.077,27.68239
ok cảm ơn nhea,0,-3.42167,24.032995
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ship biên hoà đồng nai phí bao nhiêu hả shop,0,0.724358,30.148228
shop shop,1,-4.661442,0.174113
shop,1,-4.661442,0.174113
ship bao nhiêu ạh,3,-17.618876,-29.300795
phí ship bao nhiêu,3,-19.816895,-47.222473
ok,2,32.40958,1.85235
màu hồng,4,-76.089066,-4.878477
ok,2,35.08173,-3.428155
ok shop,4,-33.248993,-15.556138
ok shop,4,-32.803467,-16.078337
chắn giường,4,-43.147263,-32.425701
shop,1,-8.88093,-2.101723
ok,2,35.08173,-3.428155
ok shop,4,-31.718065,-15.475651
phí ship bao nhiêu,3,-19.938158,-47.122272
ok,2,35.08173,-3.428155
kích thước,0,-39.130959,31.834393
shop,1,-2.132178,-2.372161
cảm ơn adđ a,0,-4.410628,23.289131
ok,2,32.40958,1.85235
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
hi báo mua chỗ cảm ơn,0,-3.068152,24.340277
ship biên hoà tầm bao nhiêu,0,-17.320028,36.464489
ok,2,32.40958,1.85235
cảm ơn shop nha,0,-6.334623,44.183693
nha,4,-64.674339,-23.26136
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
ok cảm ơn shop,0,2.847821,32.866905
ok shop,4,-33.096088,-18.155357
chắn,4,-28.963432,-8.64533
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
màu hồng,4,-76.089066,-4.878477
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok shop,4,-34.004177,-14.215993
ok shop,4,-32.014042,-14.733048
shop,1,-5.643846,-5.481736
ok cảm ơn,0,-10.963958,46.496281
shop,1,-2.431166,-2.925801
ok,2,35.08173,-3.428155
set,3,-0.550209,-35.702259
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
shop,1,-2.432389,-2.930192
kích thước,0,-39.882992,31.762802
shop,1,-1.165519,-1.806957
shop,1,-2.314586,-2.64318
ok,2,35.08173,-3.428155
phí ship bao nhiêu,3,-20.021587,-47.582592
shop,1,-2.214118,-2.47866
ship bao nhiêu,3,-10.334437,-67.004967
ok,2,33.269737,-1.508508
shop,1,-2.532191,-3.534796
cảm ơn mua nha,0,-22.506439,39.385349
shop,1,-2.42433,-2.903475
phí ship bao nhiêu,3,-19.86561,-47.164471
cảm ơn shop nha,0,-6.33462,44.183662
cám ơn shop nhea,0,-0.034508,27.344521
ok,2,32.40958,1.85235
ok shop,4,-33.096088,-18.155357
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
bao tiền,0,-17.285513,39.144444
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
màu hồng,4,-75.875076,-5.139812
phí ship phú yên bao nhiêu shop,0,-14.789474,39.734837
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
shop,1,-0.465529,-3.76755
tiền ship bao nhiêu khoản,0,-18.526609,32.366901
ok,2,32.40958,1.85235
cám ơn shop liên hệ chốt mua,0,-1.945403,25.427483
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
shop,1,-0.465529,-3.76755
set stảed,3,5.526068,-36.279091
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
chắn,4,-28.96357,-8.645331
ship nguyên sơn long biên bao nhiêu,0,0.59347,30.087425
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
ship tỉnh bao nhiêu,3,-18.755497,-33.187691
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
xanh,4,-52.918247,11.769474
phí ship bao nhiêu,3,-19.782488,-47.397495
ok,2,32.40958,1.85235
ok,2,35.08173,-3.428155
ship xong biên bao nhiêu,0,-18.497086,32.559265
ship 229 tây sơn bao nhiêu,0,0.379867,29.2528
bao ship,3,-12.52669,-64.169144
màu hồng,4,-75.84668,-4.883299
ok,2,35.08173,-3.428155
ok shop,4,-31.771561,-15.987262
ok shop,4,-33.512798,-16.130318
ok shop,4,-33.359299,-16.456781
màu hồng,4,-76.110107,-5.121002
kích thước,0,-40.013424,32.559822
ok,2,35.08173,-3.428155
shop,1,-0.465529,-3.76755
ok,2,32.40958,1.85235
bao tiền,0,-17.285511,39.144646
chắn,4,-28.963512,-8.645331
ok,2,32.40958,1.85235
xanh,4,-52.918156,11.769452
ok cảm ơn shop,0,2.847896,32.866871
ok,2,32.40958,1.85235
ok shop,4,-33.248993,-15.556138
bao nhiêu tiền khoản,0,-17.410414,36.34314
shop,1,-0.465529,-3.76755
ok,2,32.40958,1.85235
shop,1,-0.465529,-3.76755
xe shop,4,-29.719126,6.337623
ok cảm ơn,0,-10.958419,46.489429
ship hạ long bao nhiêu,0,-16.567194,38.690514
bjt ship bao nhiêu,3,-17.383959,-28.912426
ok,2,35.08173,-3.428155
kích thước,0,-39.535919,31.125772
okie ngâm cứu cám ơn,4,-25.881407,6.875476
ship bao nhiêu,3,-10.334437,-67.004967
nha,4,-64.67482,-23.261473
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
shop,1,-0.465529,-3.76755
ok,2,32.40958,1.85235
shop,1,-0.465529,-3.76755
bao tiền,0,-17.285927,39.144562
ok nha,4,-56.816311,-0.793203
ok,2,35.08173,-3.428155
ok cảm ơn,0,-11.143392,46.422932
shop,1,-0.465529,-3.76755
ok,2,32.40958,1.85235
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
uki cảm ơn,0,-6.289792,43.356441
ok,2,32.40958,1.85235
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok shop,4,-32.51012,-16.757059
ok shop,4,-32.130703,-16.867279
ship bao nhiêu khoản,3,-19.615902,-38.016312
kích thước,0,-40.039474,31.052345
ok shop,4,-32.561413,-15.038325
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
ok shop,4,-31.819172,-15.227782
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
phí bao nhiêu,3,-21.392584,-48.693932
xe đẩy shop,4,-35.055035,-8.60616
ok shop,4,-31.790787,-16.669369
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok shop,4,-31.707651,-15.545583
ok,2,32.40958,1.85235
ok,2,35.08173,-3.428155
hồng,4,-55.155964,8.478115
ok,2,35.08173,-3.428155
ship bao nhiêu tiền,3,-19.277794,-35.973282
